ANO	RELEVANTE	DOI	AUTORES	TITULO	REVISTA	PAGINAS	VOLUME	NUMERO	ISSN	item	QUALIS	QUALIS-SIMILAR
2020		http://dx.doi.org/10.3390/agronomy10060895	HERZEL, H.; DOMBINOV, V.; VOGEL, C.; WILLBOLD, S.; LEVANDOWSKI, G. V.; MEILLER, M.; MULLER, F.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; JABLONOWSKI, N. D.; SCHREY, S. D.; ADAM, C.	Soybean Fertilized by P-Phases from Bagasse-Based Materials: P-Extraction Procedures, Diffusive Gradients in Thin Films (DGT), and X-ray Diffraction Analysis (XRD)	Agronomy-Basel	895-	10		20734395		A2		
2020			HIRDES, Y. T.; NOBREGA, S.; DE ALMEIDA, M. G.; ZANG, W. A. F.	Cerrado e Cultura: mulheres quilombolas e economia social e criativa	Cadernos de Agroecologia	1-5	15		22367934		B1		
2020		http://dx.doi.org/10.3390/agronomy10060821	HOFFSTADT, K.; POHEN, G. D.; DICKE, M. D.; PAULSEN, S.; KRAFFT, S.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; LEITE, A.; KUPERJANS, I.	Challenges and Prospects of Biogas from Energy Cane as Supplement to Bioethanol Production	Agronomy-Basel	821-837	10		20734395		A2		
2020		http://dx.doi.org/10.21680/2177-8396.2019v31n2id19527	LOPES, J. M. A.; DOS SANTOS, A. M.; NUNES, F. G.	ANÁLISE DO DESMATAMENTO NAS ÁREAS DE INFLUÊNCIA DA BR-421 E AS PRESSÕES SOBRE ÁREAS ESPECIAIS NO OESTE DE RONDÔNIA	Sociedade e Território	282-304	31		21778396		A2		
2020		http://dx.doi.org/10.1002/2050-7038.12365	MAGALHAES, A. S.; BULHOES, J. S.; REIS, M. R. C.; GOMES, V. M.; SILVA, A. H. F.; ALVES, A. J.; WAINER, G. A.; GANZAROLI, C. A.; ARAUJO, W. R. H.; CALIXTO, W. P.	Experimental study of induction generator as a repowering solution	International Transactions on Electrical Energy Systems	1-29	1		20507038		A4		
2020		http://dx.doi.org/10.3390/w12041073	MARINHO, R. R.; JUNIOR FILIZOLA, N. P.; CREMON, E. H.	Analysis of Suspended Sediment in the Anavilhanas Archipelago, Rio Negro, Amazon Basin	Water	1-20	12		20734441		A3		
2020		http://dx.doi.org/10.1016/j.physa.2020.125035	MATSUSHITA, R.; DA SILVA, S.; DA FONSECA, R. C. B.; NAGATA, M.	Bypassing the truncation problem of truncated Lévy flights	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS	125035-125041	559		03784371		A1		
2020		http://dx.doi.org/10.17127/got/2020.20.005	NUNES, F.; DE GOIAS, I. E. S. U. F.; DOS SANTOS, A. M.; RAMOS, H.; SANTOS, R.; SOARES, D.	Mapeamento das áreas verdes nos loteamentos urbanos do município de Goiânia-GO Brasil: uma análise espacial da conduta legislativa	REVISTA DE GEOGRAFIA E ORDENAMENTO DO TERRITÓRIO	105-121	3		21821267		A1		
2020		http://dx.doi.org/10.4025/bolgeogr.v37i3.42643	OLIVEIRA, P. C. S. S.; DOS SANTOS, A. M.; CLEMENTINO, N. F.	MODELAGEM DINÂMICA DO DESMATAMENTO NO SUL DA AMAZÔNIA OCIDENTAL	BOLETIM DE GEOGRAFIA (ONLINE)	189-207	37		21764786		A2		
2020		http://dx.doi.org/10.1016/j.egyr.2019.08.035	PAULSEN, S.; HOFFSTADT, K.; KRAFFT, S.; LEITE, A.; ZANG, J. W.; FONSECA-ZANG, W.; KUPERJANS, I.	Continuous biogas production from sugarcane as sole substrate	ENERGY REPORTS	153-158	6		23524847		A2		
2020		http://dx.doi.org/10.20502/rbg.v21i1.1732	PEIFER, D.; ALVES, F. C.; CREMON, E. H.	Ferramentas modernas para a extração de métricas de gradientes fluviais a partir de MDEs: uma revisão	REVISTA BRASILEIRA DE GEOMORFOLOGIA	117-138	21		22365664		A1		
2020		http://dx.doi.org/10.1016/j.renene.2020.04.036	PINTO, L. S.; NETO PINHEI, D.; FILHO FERREIR, A. L.; DOMINGUES, E. G.	An alternative methodology for analyzing the risk and sensitivity of the economic viability for generating electrical energy with biogas from the anaerobic bio-digestion of vinasse	RENEWABLE ENERGY	1401-1410	155		09601481		A1		
2020		http://dx.doi.org/10.1590/s1678-86212020000300442	PORTIS, G. T.; DOS SANTOS, A. M.; NUNES, F. G.	Análise espaço temporal da alteração do uso do solo sob influência de um polo gerador de viagens em Goiânia, GO, Brasil	AMBIENTE CONSTRUÍDO (ONLINE)	513-525	20		16788621		A3		
2020		http://dx.doi.org/10.15446/rcdg.v29n1.72844	RAMOS, H. F.; NUNES, F. G.; DOS SANTOS, A. M.	Índice de áreas verdes como estratégia ao desenvolvimento urbano sustentável das Regiões Norte, Noroeste e Meia Ponte de Goiânia-go, Brasil	CUADERNOS DE GEOGRAFÌA	86-86	29		0121215X		A3		
2020		http://dx.doi.org/10.18605/2175-7275/cereus.v12n4p160-177	RIBEIRO, F. D.; DE ALMEIDA, F. S.; GOMES, R. A.	A preliminary study on energy consumption scheduling in scenarios with distributed generation	REVISTA CEREUS	160-177	12		21757275		B1		
2020		http://dx.doi.org/10.24084/repqj18.245	RIBEIRO, F. D.; PINHO, A. G.; GOMES, R. A.; DOMINGUES, E. G.	A systematic literature review of electricity distribution in smart grid scenarios	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	122-127	18		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2020		http://dx.doi.org/10.1016/j.jenvman.2020.110392	RUDKE, A. P.; DOS SANTOS, A. M.; SOUZA, V. A. S.; XAVIER, A. C. F.; FILHO ROTUNN, O. C.; MARTINS, J. A.	Impact of mining activities on areas of environmental protection in the southwest of the Amazon: A GIS- and remote sensing-based assessment	JOURNAL OF ENVIRONMENTAL MANAGEMENT	110392-1	263		03014797		A1		
2020		http://dx.doi.org/10.14393/rcg217850883	SANTOS, R. L.; NUNES, F. G.; DOS SANTOS, A. M.	QUALIDADE AMBIENTAL DO MUNICÍPIO DE IMPERATRIZ-MA: UMA ANÁLISE MULTICRITÉRIO DE INDICADORES INTRA-URBANOS	Caminhos da Geografia (UFU. Online)	01-20	21		16786343		A1		
2020		http://dx.doi.org/10.3390/ijgi9120740	SILVA, C.; MELO, S.; DOS SANTOS, A. M.; JUNIOR ALMEIDA, P.; SATO, S.; SANTIAGO, K.; SA, L.	Spatial Modeling for Homicide Rates Estimation in Pernambuco State-Brazil	ISPRS International Journal of Geo-Information	1-19	9		22209964		A2		
2020			SOARES, D. O.; DOS SANTOS, A. M.	Avaliação GEOINT do índice de risco para mortes de policiais em serviço na cidade do Rio de Janeiro, Brasil	REVISTA GEOGRÁFICA VENEZOLANA	120-131	61		10121617		B3		
2019		http://dx.doi.org/10.1007/s11356-019-05717-7	ALVES, A. C. F.; ANTERO, R. V. P.; DE OLIVEIRA, S. B.; OJALA, S. A.; SCALIZE, P. S.	Activated carbon produced from waste coffee grounds for an effective removal of bisphenol-A in aqueous medium	Environmental Science and Pollution Research	24850-24862	26		09441344		A2		
2019		http://dx.doi.org/10.5752/p.2318-2962.2019v29n56p81	ANDRADE, L. R.; MOREIRA, J. P. P. C.; DOS SANTOS, A. M.	Análise Temporal do Uso e Cobertura da Terra na Bacia do Rio Boa Vista, Ouro Preto do Oeste-RO / Temporary Analysis of Land Use and Coverage in the Rio Boa Vista River, Ouro Preto do Oeste-RO	CADERNO DE GEOGRAFIA	81-	29		23182962		A1		
2019		http://dx.doi.org/10.1590/s1517-707620190002.0693	ANTERO, R. V. P.; DOMINGOS, M. E. G. R.; SUZUKI, L. L.; DE OLIVEIRA, S. B.; OJALA, S. A.; MENDONCA, A. R. V.; BRUM, S. S.	Obtenção de hydrochar a partir de carbonização hidrotérmica de cascas do fruto de Magonia pubescens A. St. Hil. Sapindaceae: Caracterização e avaliação em processo de adsorção	Materia-Rio de Janeiro	01-19	24		15177076		B1		
2019		http://dx.doi.org/10.1016/j.chaos.2019.109509	BULHOES, J. S.; MARTINS, C. L.; OLIVEIRA, M. D.; CALHEIROS, D. F.; CALIXTO, W. P.	Indirect prediction system for variables that have gaps in their time series	CHAOS SOLITONS  FRACTALS	109509-	1		09600779		A1		
2019		http://dx.doi.org/10.5212/terraplural.v.13i2.0010	DA SILVA, E. B.; SANTOS, R. L.; DE SOUZA, V. C.; DOS SANTOS, A. M.	Uso de plataformas online para o ensino de geografia: Lapig Maps	TERR@ PLURAL (UEPG. ONLINE)	440-450	13		1982095X		A3		
2019		http://dx.doi.org/10.5004/dwt.2019.23333	DE ALMEIDA, M. C.; DE OLIVEIRA, T. F.; DE SA, F. P.	Elimination of the endocrine disruptor diethyl phthalate (DEP) using porous materials in advanced oxidative processes (AOPs)	Desalination and Water Treatment	1-11	138		19443994		A3		
2019		http://dx.doi.org/10.1016/j.radphyschem.2018.06.031	DE OLIVEIRA, L. N.; DO NASCIMENTO, E. O.; ANDREETA, M. R.; ANTONIO, P. L.; CALDAS, L. V.	Characterization of lithium diborate, sodium diborate and commercial soda-lime glass exposed to gamma radiation via linearity analyses	RADIATION PHYSICS AND CHEMISTRY	133-137	155		0969806X		A1		
2019		http://dx.doi.org/10.15628/holos.2019.8062	DE OLIVEIRA, L. N.; MORAIS, T. C. S.	INVESTIGAÇÃO SOBRE FATORES DE SUCESSO E INSUCESSO DA DISCIPLINA DE FÍSICA NO ENSINO MÉDIO TÉCNICO INTEGRADO NA PERCEPÇÃO DE ALUNOS, PROFESSORES E GESTORES DO INSTITUTO FEDERAL DE GOIÁS - CAMPUS GOIÂNIA	HOLOS (NATAL. ONLINE)	1-16	4		18071600		A1		
2019		http://dx.doi.org/10.1016/j.radphyschem.2018.05.024	DO NASCIMENTO, E. O.; DE OLIVEIRA, L. N.; CALDAS, L. V.	Improvement of Sievert Integration Model in brachytherapy via inverse problems and Artificial Neural Networks	RADIATION PHYSICS AND CHEMISTRY	260-264	155		0969806X		A1		
2019			DOS SANTOS, A. M.	EDUCAÇÃO PARA O TRÂNSITO NA ESCOLA: relato de uma experiência pedagógica a partir da extensão universitária	REVISTA DIÁLOGOS: PESQUISA E EXTENSÃO UNIVERSITÁRIA	19-34	22		16778898		B4		
2019		http://dx.doi.org/10.1016/j.future.2019.01.023	FARIA, K. A. C.; GOMES, R. A.; FREITAS, E. N. A.; VINCENZI, A. M. R.	On using collaborative economy for test cost reduction in high fragmented environments	Future Generation Computer Systems	502-510	95		0167739X		A1		
2019		http://dx.doi.org/10.1080/10826068.2019.1573195	GARCIA, L. F.; LACERDA, M. F. A. R.; THOMAZ, D. V.; GOLVEIA, J. C. S.; PEREIRA, M. D. G. C.; GIL, E. S.; SCHIMIDT, F.; SANTIAGO, M. F.	Optimization of laccase-alginate-chitosan-based matrix toward 17 #945;-ethinylestradiol removal	PREPARATIVE BIOCHEMISTRY  BIOTECHNOLOGY	1-9	49		10826068		B1		
2019		http://dx.doi.org/10.1155/2019/1303241	GOMES, V. M.; DE PAIVA, J. R. B.; REIS, M. R. C.; WAINER, G. A.; CALIXTO, W. P.	Mechanism for Measuring System Complexity Applying Sensitivity Analysis	COMPLEXITY	1-12	2019		10762787		A1		
2019		http://dx.doi.org/10.3390/en12061057	JUNIOR ARAUJO, J.; CALDEIRA-PIRES, A.; DE OLIVEIRA, S. B.	Coupling Exergy with the Emission of Greenhouse Gases in Bioenergy: A Case Study Using Biochar	Energies	1057-1074	12		19961073		A2		
2019		http://dx.doi.org/10.1016/j.jenvman.2019.02.042	MELO, T. M.; BOTTLINGER, M.; SCHULZ, E.; LEANDRO, W. M.; DE OLIVEIRA, S. B.; FILHO DE AGUIA, A. M.; EL-NAGGAR, A.; BOLAN, N.; WANG, H.; OK, Y. S.; RINKLEBE, J.	Management of biosolids-derived hydrochar (Sewchar): Effect on plant germination, and farmersapos; acceptance	JOURNAL OF ENVIRONMENTAL MANAGEMENT	200-214	237		03014797		A1		
2019			OLIVEIRA, P. C. S. S.; FERREIRA, N. C.; DOS SANTOS, A. M.	Análise da pressão antrópica, evapotranspiração e temperatura em áreas especiais no sul da Amazônia brasileira	REVISTA GEOGRÁFICA VENEZOLANA	28-	60		10121617		B3		
2019		http://dx.doi.org/10.1080/00986445.2019.160162	PACHECO, R. V.; ALVES, A. C. F.; DE OLIVEIRA, S. B.; SALES, P. T. F.; OJALA, S.; BRUM, S. S.	A new approach to obtain mesoporous-activated carbon via hydrothermal carbonization of Brazilian Cerrado biomass combined with physical activation for bisphenol-A removal	CHEMICAL ENGINEERING COMMUNICATIONS	1509-1525	2016		00986445		A3		
2019		http://dx.doi.org/10.1016/j.conengprac.2019.06.007	REIS, M. R. C.; DE ARAUJO, W. R. H.; GOMES, V. M.; SILVA, F. S.; GANZAROLI, C. A.; GOMES, F. A.; WAINER, G. A.; CALIXTO, W. P.	Optimized techniques for driving and control of the switched reluctance motor to improve efficiency	CONTROL ENGINEERING PRACTICE	1-20	1		09670661		A1		
2019		http://dx.doi.org/10.18677/treedimensional_2019a2	RIOS, J.; FONSECA, C.; DOS SANTOS, A. M.; VENTUROLI, F.	ClassificaÃ§Ã£o de FITOFISIONOMIAS DE CERRADO A PARTIR DE FUSÃ?O DE IMAGENS DE SENSORIAMENTO REMOTO	TreeDimensional	12-20	4		24479829		B4		
2019			VIEIRA, F. P.; DOMINGUES, E. G.; RAMALHO, S. S.; PINTO, L. S.; NETO PINHEI, D.	Análise de viabilidade econômica do aproveitamento energético do biogás e do biometano provenientes de dejetos de suínos: estudo de caso	Revista Tecnia	146-167	4		25262130		B1		
2019		http://dx.doi.org/10.1016/j.medengphy.2019.02.011	VIEIRA, S. L.; DE OLIVEIRA, L. N.; CARNEIRO, A. A. O.	Quantitative magnetic resonance elastography for polymer-gel dosimetry phantoms	MEDICAL ENGINEERING  PHYSICS	102-106	66		13504533		A3		
2018		http://dx.doi.org/10.1088/1742-6596/975/1/012055	COSTA, J. J. L.; DO NASCIMENTO, E. O.; DE OLIVEIRA, L. N.; CALDAS, L. V. E.	Pressure sound level measurements at an educational environment in Goiânia, Goiás, Brazil	JOURNAL OF PHYSICS. CONFERENCE SERIES (ONLINE)	012055-	975		17426596		Qualis nao identificado	JOURNAL OF PHYSICS. CONFERENCE SERIES (ONLINE)	
2018			DA SILVA, V. B.; LIMA, J. T. F. B.; BATISTA, R. P.; LEANDRO, W. M.; ZANG, W. A. F.	Participação da Juventude Rural da Escola Família Agrícola de Orizona em Sistemas Agroecológicos	Cadernos Agroecológicos	1-7	13		22367934		B1		
2018		http://dx.doi.org/10.5004/dwt.2018.22754	DE ALMEIDA, M. C.; DE OLIVEIRA, T. F.; DE SA, F. P.	Degradation of disrupter regulateur dietilphtalate by (AOP)-UV-C/H2 O2 using response surface methodology	DESALINATION AND WATER TREATMENT (ONLINE)	282-288	120		19443986		A3		
2018		http://dx.doi.org/10.24084/repqj16.360	DE FREITAS, M. A. A.; VIAJANTE, G. P.; DE ANDRADE, D. A.; DA SILVA, L. G. W.; DOMINGOS, J. L.	Comparative Analysis of the 6/4 and 8/6 Switched Reluctance Generator in Different Operating Conditions	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	487-492	1		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2018		http://dx.doi.org/10.1109/tla.2018.8447375	DE OLIVEIRA, F. L.; DO NASCIMENTO, E. O.; ZANNIN, P. H. T.; DE OLIVEIRA, L. N.	Modelling the Traffic Noise Emission in a Metropolis, the study case of Goiania	IEEE Latin America Transactions	2045-2052	16		15480992		B2		
2018		http://dx.doi.org/10.1088/1742-6596/975/1/012041	DE OLIVEIRA, L. N.; DO NASCIMENTO, E. O.; SCHIMIDT, F.; ANTONIO, P. L.; CALDAS, L. V. E.	Assessment of Ethylene Vinyl-Acetato Copolymer (EVA) Samples Bombarded by Gamma Radiation via Linearity Analyses	JOURNAL OF PHYSICS. CONFERENCE SERIES (ONLINE)	012041-	975		17426596		Qualis nao identificado	JOURNAL OF PHYSICS. CONFERENCE SERIES (ONLINE)	
2018		http://dx.doi.org/10.21577/1984-6835.20180020	DE SOUZA, L. B.; DE OLIVEIRA, S. B.; BARBOSA, D. P.	Nitrate Photocatalytic Reduction Using Mono and Bimetallic Catalysts Supported on Titanium Dioxide Nanowires and Nitrogen, Carbon Codoped Titanium Dioxide	REVISTA VIRTUAL DE QUÍMICA	244-272	10		19846835		B2		
2018			DO NASCIMENTO, E. O.; SANTOS, D. A. M. D.; DE OLIVEIRA, F. L.; VIEIRA, S. L.; DE OLIVEIRA, L. N.	Mobile Learning and Computational Simulation Applied in Environmental Acoustics	IEEE Latin America Transactions	259-265	16		15480992		B2		
2018			DOS SANTOS, A. M.	Os Impactos Socioambientais Nas Terras Indígenas No Sul Da Amazônia Brasileira	AMAZONIA INVESTIGA	106-122	7		23226307		B3		
2018			DOS SANTOS, A. M.	Análise do uso e cobertura do solo nas áreas das terras indígenas demarcadas no estado de Goiás	Revista Percurso (Online)	31-52	10		21773300		A3		
2018		http://dx.doi.org/10.18764/2446-6549.v4n14p07-32	DOS SANTOS, A. M.; FERRO, P. D.	DINÂMICA ESPAÇO-TEMPORAL DA COBERTURA DA TERRA NO PARQUE ESTADUAL DE CORUMBIARA/RONDÔNIA	INTERESPAÇO: REVISTA DE GEOGRAFIA E INTERDISCIPLINARIDADE	07-32	4		24466549		A2		
2018		http://dx.doi.org/10.14393/RCG196607	DOS SANTOS, A. M.; LINHARES, J. S.	VULNERABILIDADE NATURAL A PERDA DE SOLOS NO MUNICÍPIO DE ALTO ALEGRE DOS PARECIS E SEUS IMPACTOS SOBRE A A TERRA INDÍGENA RIO MÉQUENS - RONDÔNIA	Caminhos da Geografia (UFU. Online)	97-115			16786343		A1		
2018		http://dx.doi.org/10.11606/issn.2316-9060.v19i0p91-105	DOS SANTOS, A. M.; MARTINELI, G.; VILARINHO, M.; BARROS, J. P.	'The University goes to School': Reports of an Experience of University Extension Cartography	REVISTA CULTURA E EXTENSÃO USP	91-	19		23169060		B3		
2018		http://dx.doi.org/10.5216/ag.v12i1.45968	DOS SANTOS, A. M.; RAMOS, H. F.; HOLMES, D. C. S. C.	Densidade demográfica: um estudo comparativo de duas metodologias a partir de imagens orbital e suborbital na cidade de Aparecida de Goiânia/Goiás	Ateliê geográfico (UFG)	175-200	12		19821956		A3		
2018			DOS SANTOS, A. M.; SALES, M. S.; LOPES, A. G.	PROPOSTA DE UM CORREDOR ETNOAMBIENTAL ENTRE AS TERRAS INDÍGENAS RIO OMERÊ E RIO TANARU, ESTADO DE RONDÔNIA, BRASIL	REVISTA GEOGRÁFICA ACADÊMICA	62-75	12		16787226		A1		
2018		http://dx.doi.org/10.21170/geonorte.2018.V.9.N.32.24.44	DOS SANTOS, A. M.; SCHOTT, E. F. C. S.; SOARES, D. O.	VULNERABILIDADE NATURAL À PERDA DE SOLOS NA FLONA BOM FUTURO E SEU ENTORNO PRÓXIMO/ESTADO DE RONDÔNIA	Ravista Geonorte	24-44	9		22371419		A3		
2018		http://dx.doi.org/10.11606/rdg.v36i0.142709	DOS SANTOS, S. A.; NUNES, F. G.; DOS SANTOS, A. M.	Intensidade dos Processos Antropogênicos no Entorno do Reservatório do Ribeirão João Leite - Goiás - Brasil	REVISTA DO DEPARTAMENTO DE GEOGRAFIA	63-76	36		22362878		A1		
2018			FERREIRA, L. G. G. B.; DOMINGOS, J. L.; ALVES, A. J.	Analysis of Tensions and Deformations of Fixing Supports of Photovoltaic Panels Installed on Rooftops	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	487-492-	1		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2018		http://dx.doi.org/10.1002/cjce.23186	FLOURET, A.; DE ALMEIDA, M. C.; DE OLIVEIRA, T. F.; DE SA, F. P.	Advanced treatment of phenol by H 2/sub O 2/sub /UV/activated carbon coupling: Influence of homogeneous and heterogeneous phase	CANADIAN JOURNAL OF CHEMICAL ENGINEERING	1979-1985	96		00084034		A3		
2018			GOMIDE, M. L. C.; DOS SANTOS, A. M.	Reflexões sobre a dinâmica populacional Paiter Suruí de Rondônia	REVISTA PANORÂMICA	93-93	25		22389210		B1		
2018			JUNIOR MORAIS, P. A.; DO NASCIMENTO, E. O.; NETO FAGUND, M. G.; DE OLIVEIRA, L. N.	Characterization of Automobile Acoustic Insulation Performance based on Artificial Neural Networks via Sensitivity Analysis	IEEE Latin America Transactions	216-225	16		15480992		B2		
2018		http://dx.doi.org/10.1080/10826068.2018.1525568	LACERDA, M. F. A. R.; LOPES, F. M.; SARTORATTO, A.; PONEZI, A. N.; THOMAZ, D. V.; SCHIMIDT, F.; SANTIAGO, M. F.	Stability of immobilized laccase on Luffa Cylindrica/i fibers and assessment of synthetic hormone degradation	PREPARATIVE BIOCHEMISTRY  BIOTECHNOLOGY	1-6	48		10826068		B1		
2018		http://dx.doi.org/10.5007/1807-0221.2018v15n31p2	MENDONCA, A.; ALCALA, S. G. S.; DOS SANTOS, A. M.	Experiências de Extensão Universitária na área de arborização da Universidade Federal de Goiás	Revista de Extensão	2-14	15		18070221		B1		
2018		http://dx.doi.org/10.1590/0001-3765201820170176	MORAIS, R. L.; SANTIAGO, M. F.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; SCHIMIDT, F.	'Removal of synthetic sex hormones by hydrothermal carbonization'	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	1327-1336	90		16782690		A2		
2018		http://dx.doi.org/10.1080/15325008.2018.1444686	NETO PINHEI, D.; DOMINGUES, E. G.; CALIXTO, W. P.; ALVES, A. J.	Methodology of Investment Risk Analysis for Wind Power Plants in the Brazilian Free Market	ELECTRIC POWER COMPONENTS AND SYSTEMS	316-330	46		15325008		A4		
2018		http://dx.doi.org/10.24084/repqj16.463	PINTO, L. S.; NETO PINHEI, D.; DOMINGUES, E. G.	Investment risk analysis of electricity generation from vinasse biodigestion in the Brazilian Regulated Market	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	766-771	1		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2018		http://dx.doi.org/10.24084/repqj16.230	RAMOS, A. C. L.; BATISTA, A.; LEBORGNE, R.; DOMINGUES, E.; CALIXTO, W. P.	A First Approach on the Impact of Distributed Generation and network topology on Studies of Voltage Sags	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	114-120	1		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2018		http://dx.doi.org/10.1016/j.egypro.2018.10.048	ZANG, J. W.; MARTINS, K. F.; DA FONSECA-ZANG, W. A.	Life Cycle inventory for biomethane as a diesel substitute for the Brazilian ethanol industry - case study	ENERGY PROCEDIA	444-449	153		18766102		Qualis nao identificado	ENERGY PROCEDIA	
2017		http://dx.doi.org/10.3390/en10050639	BARBOSA, J. L. F.; SIMON, D.; CALIXTO, W. P.	Design Optimization of a High Power LED Matrix Luminaire	Energies	639-	10		19961073		A2		
2017			BORGES, E. C. L.; SILVA, T. O.; DE SA, F. P.	Incêndio no Lixão da Cidade de Inhumas-GO/Brasil: Aspectos Atmosféricos	Revista Meio Ambiente e Sustentabilidade	6-23	12		23162856		B3		
2017		http://dx.doi.org/10.22149/teee.v2i2.95	DA SILVA, C. L. B.; PIRES, T. G.; DE OLIVEIRA, D. N.; NERYS, J. W. L.; ALVES, A. J.; CALIXTO, W. P.	Calculation of Grounding Grids Parameter at Arbitrary Geometry	Transactions on Environment and Electrical Engineering	11-	2		24505730		B1		
2017		http://dx.doi.org/10.15628/holos.2016.2810	DA SILVA, E. F.; DE OLIVEIRA, L. N.	VIABILIDADE DE NOVAS FORMULAÇÕES DO DOSÍMETRO QUÍMICO FRICKE GEL	HOLOS (NATAL. ONLINE)	101-112	8		18071600		A1		
2017		http://dx.doi.org/10.22149/teee.v2i2.98	DE CARVALHO, D. F.; GANZAROLI, C. A.; DO COUTO, L. A.; DIAS, R. N. H. M.; CALIXTO, W. P.	Hybrid Optimization Process Applied to Tuning of Dynamic Matrix Control: Study Case with DC Motor	Transactions on Environment and Electrical Engineering	23-30	2		24505730		B1		
2017			DE LIMA, R. A.; COIMBRA, A. C. P.; ALMEIDA, T.; GOMES, V. M.; PEREIRA, T. M.; ALVES, A. J.; CALIXTO, W. P.	Calculation of the influence of slot geometry on the magnetic flux density of the air gap of electrical machines: three-dimensional study	Transactions on Environment and Electrical Engineering	81-89	2		24505730		B1		
2017		http://dx.doi.org/10.15628/holos.2017.1903	DE OLIVEIRA, L. N.; DE OLIVEIRA, F. S.; ARAUJO, L. M.; DA SILVA, L. L.; CRISPIM, Z. M.; LUCINDO, V. B. D. B.	VIOLÊNCIA DOMÉSTICA E SEXUAL CONTRA A MULHER: REVISÃO INTEGRATIVA	HOLOS (NATAL. ONLINE)	275-284	8		18071600		A1		
2017		http://dx.doi.org/10.1016/j.radmeas.2017.05.015	DE OLIVEIRA, L. N.; SCHIMIDT, F.; ANTONIO, P. L.; ANDREETA, M. R.; CALDAS, L. V.	Lithium diborate glass for high-dose dosimetry using the UV-Vis and FTIR spectrophotometry techniques	RADIATION MEASUREMENTS	225-228	106		13504487		A2		
2017		http://dx.doi.org/10.15392/bjrs.v5i2.198	DE OLIVEIRA, L. N.; VIEIRA, S. L.; SCHIMIDT, F.; ANTONIO, P. L.; CALDAS, L. V.	Evaluation of polybutadiene rubbers using FTIR spectra	BRAZILIAN JOURNAL OF RADIATION SCIENCES	1-7	5		23190612		B1		
2017			DE SA, F. P.; NUNES, L. M.	Descoloração de Corantes Alimentícios, Amarelo Crepúsculo e Azul Brilhante, Utilizando Radiação Ultravioleta	REVISTA PROCESSOS QUÍMICOS	77-82	11		19818521		B4		
2017			DE SOUZA, L. B.; BARBOSA, D. P.; DE OLIVEIRA, S. B.	Redução fotocatalítica de nitrato utilizando catalisadores mono e bimetálicos suportados em nanofios de dióxido de titânio e dióxido de titânio dopado com nitrogênio e carbono	REVISTA VIRTUAL DE QUÍMICA	244-272	10		19846835		B2		
2017			DO NASCIMENTO, E. O.; COSTA, R. G.; DE OLIVEIRA, L. N.	Redes neurais artificiais aplicadas na correlação entre óbitos de dengue, automedicação e fatores abióticos em Goiânia-Goiás	SCIENTIA PLENA	1-16	13		18082793		A4		
2017			DO NASCIMENTO, E. O.; DE OLIVEIRA, L. N.	Identificação das concepções dos estudantes de cursos técnicos sobre as atividades experimentais de ensino de Física	Revista Espaço Acadêmico (UEM)	106-116	191		15196186		B3		
2017			DO NASCIMENTO, E. O.; DE OLIVEIRA, L. N.	Numerical Optimization of Flight Trajectory for Rockets Via Artificial Neural Networks	IEEE Latin America Transactions	1556-1565	15		15480992		B2		
2017			DO NASCIMENTO, E. O.; DE OLIVEIRA, L. N.	Identificac#807;a#771;o das concepc#807;o#771;es dos estudantes de cursos te#769;cnicos sobre as atividades experimentais de ensino de Fi#769;sica	Revista Eletrônica Espaço Acadêmico (Online)	106-116	16		15196186		B3		
2017		http://dx.doi.org/10.14393/REP_v16n22017_art8	DOS SANTOS, A. M.	Cartografias possíveis: um olhar sobre os mapas mentais indígenas em Rondônia, Brasil	REVISTA DE EDUCAÇÃO POPULAR	105-124	16		19827660		A4		
2017		http://dx.doi.org/10.3895/rbgeo.v5n3.5421	DOS SANTOS, A. M.; MOTA, V. C.	Análise espacial dos usos e da cobertura da terra no pantanal dos rios Guaporé e Mamoré/Rondônia	REVISTA BRASILEIRA DE GEOMÁTICA	433-	5		23174285		B3		
